lat,lon,uid,aqi,name,time,date
53.655483,-6.68847,13393,14,"Navan, Co. Meath, Ireland",02:00:00,2023-08-09
55.137443,-7.456503,13367,11,"Buncranna, Co. Donegal, Ireland",04:00:00,2023-08-09
51.45617,0.634889,3207,18,"Rochester Stoke, United Kingdom",03:00:00,2023-08-09
51.48178,-3.17625,3167,15,"Cardiff Centre, United Kingdom",04:00:00,2023-08-09
52.28881,-1.533119,3182,23,"Leamington Spa, United Kingdom",03:00:00,2023-08-09
55.002818,-7.331179,8914,22,"Derry Rosemount, United Kingdom",03:00:00,2023-08-09
53.37287,-3.022722,3221,25,"Wirral Tranmere, United Kingdom",03:00:00,2023-08-09
53.80378,-1.546472,3184,25,"Leeds Centre, United Kingdom",03:00:00,2023-08-09
55.607469,-4.497986,5976,11,"E Ayrshire Kilmarnock St Marnock St, United Kingdom",03:00:00,2023-08-09
54.543516,-6.008608,6342,17,"Lisburn Dunmurry Seymour Hill, United Kingdom",21:00:00,2023-08-08
56.642076,-2.894328,8669,5,"Angus Forfar Glamis Rd, United Kingdom",03:00:00,2023-08-09
51.12009,-0.0252,-129121,17,Turners Hill Road,04:43:10,2023-08-09
51.57661,0.030858,8918,10,"Redbridge - Gardner Close, United Kingdom",02:00:00,2023-08-09
51.379312,-0.281259,14619,57,"Kingston Upon Thames - Tolworth Broadway, United Kingdom",03:00:00,2023-08-09
56.11472,-3.932178,6024,7,"Stirling Craig's Roundabout, United Kingdom",03:00:00,2023-08-09
53.368793999948,-6.1726370000744,13404,15,"St. Anne's Park, Dublin 5, Ireland",02:00:00,2023-08-09
54.180381,-6.33924,6034,10,"Newry Canal Street, United Kingdom",01:00:00,2023-08-09
52.481346,-1.918235,11652,20,"Birmingham Ladywood, United Kingdom",03:00:00,2023-08-09
53.38928,-2.615358,3219,27,"Warrington, United Kingdom",03:00:00,2023-08-09
54.97825,-1.610528,3198,23,"Newcastle Centre, United Kingdom",03:00:00,2023-08-09
55.818357,-4.081839,8047,11,"South Lanarkshire Uddingston, United Kingdom",03:00:00,2023-08-09
53.04222,-3.002778,11651,25,"Wrexham, United Kingdom",03:00:00,2023-08-09
