lat,lon,uid,aqi,name,time
52.263829,-7.117967,14770,8,"Merchants Quay, Waterford City, Ireland",2023-08-09T02:00:00+09:00
52.272257,-0.916605,10099,30,"Northampton Spring Park, United Kingdom",2023-08-09T02:00:00+09:00
51.074793,-4.041924,4903,3,"Barnstaple A39, United Kingdom",2023-08-09T02:00:00+09:00
55.896909,-3.31966,6340,10,"Edinburgh Currie, United Kingdom",2023-08-09T02:00:00+09:00
55.983925,-3.455939,6027,10,"West Lothian Newton, United Kingdom",2023-08-09T01:00:00+09:00
56.07383,-3.44862,5993,10,"Fife Dunfermline, United Kingdom",2023-08-09T01:00:00+09:00
55.464531,-4.631673,6021,12,"South Ayrshire Ayr High St, United Kingdom",2023-08-09T03:00:00+09:00
54.003129999895,-6.3926280000824,14211,1,"Dundalk, Co. Louth, Ireland",2023-08-09T02:00:00+09:00
53.655483,-6.68847,13393,14,"Navan, Co. Meath, Ireland",2023-08-09T02:00:00+09:00
54.361111,-6.225,13390,16,"Marino, Dublin 3, Ireland",2023-08-09T02:00:00+09:00
56.642076,-2.894328,8669,4,"Angus Forfar Glamis Rd, United Kingdom",2023-08-09T02:00:00+09:00
50.90814,-1.395778,3211,17,"Southampton Centre, United Kingdom",2023-08-09T02:00:00+09:00
52.132417,-0.300306,3210,9,"Sandy Roadside, United Kingdom",2023-08-09T01:00:00+09:00
54.821427,-7.453291,6036,21,"Strabane Springhill Park, United Kingdom",2023-08-09T02:00:00+09:00
56.373126,-3.841475,6017,7,"Perth Crieff, United Kingdom",2023-08-09T02:00:00+09:00
52.958,-7.47,-214759,10,L16201,2023-08-09T04:28:49+09:00
53.53,-6.312,-215359,10,Oldtown,2023-08-09T04:28:41+09:00
51.601203,-2.977281,8059,21,"Newport St Julians Comp School, United Kingdom",2023-08-09T03:00:00+09:00
54.59965,-5.928833,6030,22,"Belfast Centre, United Kingdom",2023-08-09T02:00:00+09:00
54.861595,-6.250873,6029,22,"Ballymena Ballykeel, United Kingdom",2023-08-09T02:00:00+09:00
53.280541000076,-6.3588420002256,13407,14,"Tallaght, Ireland",2023-08-09T02:00:00+09:00
51.6053,0.5896,-109597,13,Rawreth,2023-08-09T04:24:34+09:00
53.74878,-0.341222,3181,28,"Hull Freetown, United Kingdom",2023-08-09T02:00:00+09:00
56.124331,-3.141347,5994,8,"Fife Kirkcaldy, United Kingdom",2023-08-09T01:00:00+09:00
53.76559,-2.680353,3205,26,"Preston, United Kingdom",2023-08-09T02:00:00+09:00
