lat,lon,uid,aqi,name,time,date
33.86,115.484454,5844,132,"lù yì xiàn zhōngxīn yīyuàn zìdòng zhàn, Luyi county (鹿邑县鹿邑县中心医院自动站)",03:00:00,11/08/2023
20.362421,72.918013,12448,176,"Phase-1 GIDC, Vapi, India",02:30:00,11/08/2023
28.4621689,-16.26186591,6786,163,"Tome Cano, Canarias, Spain",01:00:00,11/08/2023
47.4164,-117.52982,5018,24,"Turnbull, Cheney, Washington, USA",04:00:00,11/08/2023
-13.546953,-71.88735,-404467,44,UPCH_CUS_SanJe_Coleg_1,03:26:11,11/08/2023
68.62674,-149.59428,-38101,98,Toolik Field Station,03:26:36,11/08/2023
29.6816,115.9872,3646,89,"Shili, Jiujiang (九江十里)",02:00:00,11/08/2023
31.103759,121.046456,10217,132,"Qingpu Zhujiajiao, Shanghai (青浦朱家角)",02:00:00,11/08/2023
-45.57904567,-72.04996451,5141,78,"Coyhaique II, Chile",02:00:00,11/08/2023
40.5169,-88.9975,9513,51,"Normal, Illinois, USA",03:00:00,11/08/2023
58.7084,-111.1764,5487,59,"Fort Chipewyan, Alberta, Canada",02:00:00,11/08/2023
48.42389,-123.49278,4234,42,"Colwood City Hall, British Comlumbia, Canada",02:00:00,11/08/2023
50.316,57.126,-216664,125,Рыскулова 4Г,03:24:01,11/08/2023
-23.682068,27.722012,10755,31,"Lephalale-NAQI, Waterberg, South Africa",03:00:00,11/08/2023
21.000658,101.40459,-370216,30,AQSEA_LAO_021,03:24:03,11/08/2023
39.352,20.286,-145474,24,Arillas,03:24:01,11/08/2023
46.4651,-116.237,13158,57,"Orofino, USA",01:00:00,11/08/2023
13.936804,121.78583,-398935,123,Pagbilao 2,02:00:00,11/08/2023
37.5217549,42.4548708,4092,127,"Sirnak, Turkey",02:00:00,11/08/2023
51.406846,6.965589,13859,54,"Essen-Schuir (LANUV), Germany",01:00:00,11/08/2023
37.7854715,-113.1918021,10170,29,"Iron, Utah",03:00:00,11/08/2023
37.76190465,29.37577059,14809,76,"Denizli Honaz Yaygınlaştırma, Turkey",02:00:00,11/08/2023
19.27019291,-99.59530705,396,104,"Metepec, Toluca, Mexico",01:00:00,11/08/2023
51.814,68.343,-247186,4,"Атбасар, Рыскулова",03:24:14,11/08/2023
49.89798,-97.1465,6909,19,"Winnipeg Ellen St., Manitoba, Canada",01:00:00,11/08/2023
43.56753,104.4227,-223819,55,Umnugobi_03(90 орт),03:27:24,11/08/2023
